ID,Internal Name ,Category,Display Name,Description,Priority Tier,Dev Description
1,gasping_agonal,Audio,Gasping / Agonal Breathing,,High,
2,pericardial_friction_rub,Audio,Pericardial Friction Rub,Smoking gun for Uremia/Kidney failure.,High,
3,pink_frothy_sputum,Audio,Pink Frothy Sputum (Cough),Smoking gun for Acute Pulmonary Edema.,High,
4,clear_lungs,Audio,Clear Lungs,Differentiates Right HF / Liver from Left HF.,Medium,
5,bilateral_crackles,Audio,Crackles (Bilateral),Strong indicator of fluid (Left HF or Kidney).,Medium,
6,faint_heart_sounds,Audio,Distant / Faint Heart Sounds,Strong indicator of over-inflated lungs (COPD).,Medium,
7,s3_gallop,Audio,"S3 Gallop (""Kentucky"")",Strong indicator of Left Systolic HF.,Medium,
8,s4_gallop,Audio,"S4 Gallop (""Tennessee"")",Strong indicator of Left Diastolic HF / Stiff heart.,Medium,
9,tricuspid_regurgitation,Audio,Tricuspid Regurgitation (Murmur),Strong indicator of Right Heart strain.,Medium,
10,expiratory_wheezing,Audio,Wheezing (Expiratory),Differentiates COPD from Heart Failure.,Medium,
11,normal_heart_sounds,Audio,Normal Heart Sounds,Baseline context; confirms heart is functioning.,Low,
12,av_fistula,Visual,AV Fistula (Left Arm),Smoking gun for Kidney Failure (Dialysis patient).,High,
13,cyanosis,Visual,Cyanosis (Blue lips/fingertips),Critical sign of severe hypoxia.,High,
14,jaundice,Visual,Jaundice (Yellow Eyes/Skin),Smoking gun for Liver failure.,High,
15,jvd,Visual,JVD (Distended Neck Vein),Smoking gun for Right-Sided HF.,High,
16,jvd_absent,Visual,Neck Veins FLAT (No JVD),Smoking gun to rule out Heart Failure for Liver.,High,
17,uremic_frost,Visual,Uremic Frost (White dust),Smoking gun for late-stage Kidney failure.,High,
18,ascites,Visual,Ascites (Distended Abdomen),Strong indicator of Right HF or Liver Cirrhosis.,Medium,
19,barrel_chest,Visual,Barrel Chest,Classic physical change from COPD.,Medium,
20,dyspnea_at_rest,Visual,Dyspnea at Rest (Visible struggle),Strong indicator of respiratory or cardiac compromise.,Medium,
21,periorbital_edema,Visual,Periorbital Edema (Puffy Eyes),Differentiates Kidney swelling (face) from Cardiac (legs).,Medium,
22,pitting_edema,Visual,Pitting Edema (Ankles/Legs),Strong indicator of Right HF.,Medium,
23,diaphoresis,Visual,Profuse Sweating (Diaphoresis),Indicates sympathetic nervous system panic (Flash Edema).,Medium,
24,pursed_lip_breathing,Visual,Pursed-Lip Breathing,Classic visual compensation for COPD.,Medium,
25,spider_angiomas,Visual,Spider Angiomas (Chest veins),Strong indicator of Liver Cirrhosis.,Medium,
26,tripod_position,Visual,Tripod Position (Leaning Forward),Severe visual sign of respiratory distress.,Medium,
27,finger_clubbing,Visual,Clubbing (Fingers),Contextual sign of chronic low oxygen.,Low,
28,obesity,Visual,Obesity (BMI > 30),Contextual risk factor for Diastolic HF.,Low,
29,pale_cool_skin,Visual,Pale / Cool Skin,Contextual sign of poor blood flow.,Low,
30,ammonia_high,Paper,Ammonia: High,Smoking gun for Liver encephalopathy.,High,
31,bnp_normal,Paper,BNP: Normal (< 100),Smoking gun to rule OUT Heart Failure.,High,
32,creatinine_high,Paper,Creatinine: High (> 4.0),Smoking gun for Kidney failure.,High,
33,ef_low,Paper,Ejection Fraction: Low (< Medium%),Smoking gun for Left Systolic HF.,High,
34,ef_normal,Paper,Ejection Fraction: Normal (55-70%),"""The Trap"" - Defines Left Diastolic HF when symptoms exist.",High,
35,o2_sat_critical,Paper,O2 Saturation: Critical (< 85%),Immediate life-threat requiring action.,High,
36,potassium_high,Paper,Potassium: High (Hyperkalemia),Critical danger sign of Kidney failure.,High,
37,albumin_low,Paper,Albumin: Low,Strong indicator of Liver failure/malnutrition.,Medium,
38,bnp_elevated,Paper,BNP: Elevated (> Medium0),Strong indicator of cardiac stretch/fluid overload.,Medium,
39,co2_high,Paper,CO2: High (Hypercapnia),Strong indicator of respiratory failure / COPD.,Medium,
40,cxr_cardiomegaly,Paper,CXR: Cardiomegaly (Enlarged Heart),Strong confirmation of Heart Failure.,Medium,
