QID,internal_name,Origin,Display_Name,Nurse_Dialogue_One,Patient_Dialogue_Two,Dialogue_Ending,NextSO,Symptoms
1,herb_weight_q,Chart,Weight...,Have you noticed any fluctuations in your weight recently?,"I did. It's strange, because I've [not been eating more than usual, but I'm still gaining weight.]",I see. I'll note that down real quick.,,Potential weight gain from fluid rentention
2,herb_pain_q,"Chart, Red Herring",Any abdominal pain?,Are you feeling any abdominal pain? Or were you feeling any abdominal pain recently?,None that I noticed.,"Alright, I'll note that down.",,
3,herb_relevant_q,Chart,Any relevant history?,I can see here on your chart that you've have a [history of Stage-2 Hypertension]?,I do. I've been dealing with it for 2 years. ,I see. Thank you for telling me.,,Has a history of Stage-2 Hypertension.
4,herb_feelings_q,Chart,Feelings…?,How have you been feeling lately? ,"... To be honest with you, psychiatrist told me I'm showing some symptoms of [depression] lately. I suppose that might be how I'm feeling.",I'm really sorry to hear that. I appreciate you feeling comfortable enough to share this with me.,,Dealing with Depression
5,herb_history_q,Chart,Any relevant history?,Have you ever had any tests or checks done on your heart?,I did. They said my heart isn't pumping enough blood effectively.,"I see…so a [history of heart-failure induced injection fraction], to be specific. ",,Has a history of heart-failure induced injection fraction
6,herb_reliability_q,Chart,Reliability,How frequently have you been taking your medications? ,"To be honest with you, I [skip the water pill] sometimes cause it makes me pee too much... Usually I'm [too tired to get up.]",I see. Thanks for being honest. Will note that down...,,"Skips the water pill, Chronic Exhuastion"
7,herb_pee_q,Chart,Urinary Urgency…,"When you urinate, do you feel like you have to go immediately?",No. Not really.,So [no urinary urgency]…that's good.,,No Urinary Urgency
8,herb_fever_q,"Chart, Red Herring",Fever/chills,Do you feel feverish? ,Uhhh...no.,"Alright, that's good to know.",,
9,herb_hearbreathing_q,"Audio, Chart",Observe Patient's Breathing,I noticed on your chart that you've been dealing with [SOB for the past four days]. How has it been affecting your day-to-day? ,"It's been *breathe* bad for *breathe* the past 4 days. I can't *breathe* even shower, *breathe*, or go to the kitchen *breathe* to make food.",I'm sorry to hear that. Let me just note that down. ,,Has been dealing with SOB for the past four days.
10,herb_coughing_q,Audio,Coughing,It sounds like you have a cough right now.,"Yeah. It's a pretty dry cough, though.",A dry cough? That means it's [raspy and non-productive].,,Raspy and non-productive cough
11,herb_digoxin_q,"Medicine, Chart",Digoxin,It says here you've been taking Digoxin.,Yes I am. My doctor said [Digoxin is helpful for my heart condition].,You're right. It increases the strength of heart contractions.,,Taking Digoxin for his heart condition
12,herb_furosemide_q,"Medicine, Chart",Furosemide,It looks like you've been [prescribed Furosemide]?,The water pill? Yes...,Good to know. It's a diuretic and we may have to check your glucose levels/eletrolytes if that's the case.,,"Taking Furosemide to mitigate water retention, check for glucose/electrolyte levels"
13,herb_spironolactone_q,"Medicine, Chart",Spironolactone,I can see on your chart that you're [taking Spironolactone].,"That's a water pill, right?",Yes. Spironolactone is a diuretic that helps with water retention.,,Taking Spironolactone to mitigate water retention.
14,herb_lisinopril_q,"Medicine, Chart",Lisinopril,"I just wanted to check, but it says here you're also taking Lisinopril?",Yes. I think it has to do with my heart condition?,"That's right. [Lisinopril helps open your blood vessels], as a matter of fact.",,...taking Lisinopril...helps open blood vessels...
15,herb_sertraline_q,"Medicine, Chart, Red Herring",Sertraline,It also says here on the chart that you're [taking Sertraline].,It's to help with my depression...but what does that have to do with my heart condition?,I just wanted to check.,,Patient is taking Setraline...SSRI Anti-Depressant.
16,herb_carvedilol_q,"Medicine, Chart",Carvedilol,Were you also [prescribed Carvedilol]? Are you taking it regularly?,I am. I take it because I have high blood pressure.,"I see. Especially with your medical history, it's a preventative maintenance for heart failure.",,SYSTEMS PLS CHECK THIS BC THIS MED IS NOT ON THE HF SLIDES
17,herb_colace_q,"Medicine, Chart, Red Herring",Colace,It looks like you listed Colace as a medication you're taking regularly. ,"Yes, it helps me with my constipation. ",I'll note that down.,,
18,herb_recline_q,Visual,Patient's Recline Position,"Based on your SOB, it might be better to recline slightly. Would you like me to assist you?","Oh, yes. That would be great. ",*animation of [reclining patient/bed 30 degrees]*,,Assisted patient into a recline position (30 degrees)
19,herb_seebreathing_q,Visual,Visible Breathing,I noticed that you're [breathing more with your mouth]...,Yes. It's easier/less tiring for me to breathe this way.,We might have to check your oxygen levels then. Just so we can cover all our bases. ,,"Shortness of Breath, Check Oxygen Levels"
20,herb_job_q,Pre-Existing Q,Job?,Are you currently working?,"No, I'm retired FDNY Engine 205, Ladder 118. Stayed with those boys through some more difficult years...","Thank you for your service, I'll note that down.",,
21,herb_diet_q,Pre-Existing Q,Diet?,What sort of food do you find yourself eating lately?,"Well, ever since my wife died I've mostly been eating microwave dinners before bed...","I see, I'm sorry for your loss, just wanted to check.",,
22,herb_family_q,Pre-Existing Q,Family?,Do you have any family in the area?,"Just my two sons, but they moved to the west coast a few years ago.",,,
23,herb_PC_q,Pre-Existing Q,Primary Concern?,What brings you in today?,"I've had some trouble breathing, I'm worried something might be up with my medications...","Thanks for letting me know, I'll note that down...",,
